rule_id,requirement_id,ac_id,uat_id,error_id,roles,status
"BR-001","FR-001","AC-001.1","UAT-001","","Customer|Bank operations","DRAFT"
"BR-001","FR-001","AC-001.2","UAT-002","ERR-007","Customer|Bank operations","DRAFT"
"BR-002","FR-002","AC-002.1","UAT-003","","Customer|Bank operations","DRAFT"
"BR-002","FR-002","AC-002.2","UAT-004","ERR-009","Customer|Bank operations","DRAFT"
"BR-003","FR-005","AC-005.1","UAT-009","","Customer","DRAFT"
"BR-003","FR-005","AC-005.2","UAT-010","ERR-012","Customer","DRAFT"
"BR-003","FR-005","AC-005.3","UAT-035","ERR-010","Customer","DRAFT"
"BR-003","FR-005","AC-005.4","UAT-036","","Customer","DRAFT"
"BR-003","FR-005","AC-005.5","UAT-037","","Customer","DRAFT"
"BR-003","FR-005","AC-005.6","UAT-038","","Customer","DRAFT"
"BR-003","FR-005","AC-005.7","UAT-039","","Customer","DRAFT"
"BR-003","FR-005","AC-005.8","UAT-040","ERR-011","Customer","DRAFT"
"BR-003","FR-006","AC-006.1","UAT-011","","Customer","DRAFT"
"BR-003","FR-006","AC-006.2","UAT-012","ERR-001","Customer","DRAFT"
"BR-004","FR-005","AC-005.1","UAT-009","","Customer","DRAFT"
"BR-004","FR-005","AC-005.2","UAT-010","ERR-012","Customer","DRAFT"
"BR-004","FR-005","AC-005.3","UAT-035","ERR-010","Customer","DRAFT"
"BR-004","FR-005","AC-005.4","UAT-036","","Customer","DRAFT"
"BR-004","FR-005","AC-005.5","UAT-037","","Customer","DRAFT"
"BR-004","FR-005","AC-005.6","UAT-038","","Customer","DRAFT"
"BR-004","FR-005","AC-005.7","UAT-039","","Customer","DRAFT"
"BR-004","FR-005","AC-005.8","UAT-040","ERR-011","Customer","DRAFT"
"BR-005","FR-010","AC-010.1","UAT-019","","Bank operations","DRAFT"
"BR-005","FR-010","AC-010.2","UAT-020","ERR-013","Bank operations","DRAFT"
"BR-006","","","","","","DRAFT"
"BR-007","FR-009","AC-009.1","UAT-017","","Bank operations","DRAFT"
"BR-007","FR-009","AC-009.2","UAT-018","ERR-001","Bank operations","DRAFT"
"BR-007","FR-016","AC-016.1","UAT-031","","Customer|Bank operations","DRAFT"
"BR-007","FR-016","AC-016.2","UAT-032","ERR-009","Customer|Bank operations","DRAFT"
"BR-008","FR-017","AC-017.1","UAT-033","","","DRAFT"
"BR-008","FR-017","AC-017.2","UAT-034","ERR-014","","DRAFT"
"BR-009","FR-003","AC-003.1","UAT-005","","Customer|Bank operations","DRAFT"
"BR-009","FR-003","AC-003.2","UAT-006","ERR-002","Customer|Bank operations","DRAFT"
"BR-009","FR-004","AC-004.1","UAT-007","","Customer|Bank operations","DRAFT"
"BR-009","FR-004","AC-004.2","UAT-008","ERR-003","Customer|Bank operations","DRAFT"
"BR-009","FR-011","AC-011.1","UAT-021","","Customer|Bank operations","DRAFT"
"BR-009","FR-011","AC-011.2","UAT-022","ERR-001","Customer|Bank operations","DRAFT"
"BR-010","FR-007","AC-007.1","UAT-013","","Customer|Bank operations","DRAFT"
"BR-010","FR-007","AC-007.2","UAT-014","ERR-001","Customer|Bank operations","DRAFT"
"BR-010","FR-008","AC-008.1","UAT-015","","Customer","DRAFT"
"BR-010","FR-008","AC-008.2","UAT-016","ERR-001","Customer","DRAFT"
"BR-011","FR-011","AC-011.1","UAT-021","","Customer|Bank operations","DRAFT"
"BR-011","FR-011","AC-011.2","UAT-022","ERR-001","Customer|Bank operations","DRAFT"
"BR-011","FR-012","AC-012.1","UAT-023","","Customer|Bank operations","DRAFT"
"BR-011","FR-012","AC-012.2","UAT-024","ERR-013","Customer|Bank operations","DRAFT"
"BR-011","FR-013","AC-013.1","UAT-025","","Customer|Bank operations","DRAFT"
"BR-011","FR-013","AC-013.2","UAT-026","ERR-014","Customer|Bank operations","DRAFT"
"BR-011","FR-014","AC-014.1","UAT-027","","Customer|Bank operations","DRAFT"
"BR-011","FR-014","AC-014.2","UAT-028","ERR-009","Customer|Bank operations","DRAFT"
"BR-011","FR-015","AC-015.1","UAT-029","","Customer|Bank operations","DRAFT"
"BR-011","FR-015","AC-015.2","UAT-030","ERR-014","Customer|Bank operations","DRAFT"
